epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17422.5,0.58565,0.9036,0.97938,0.50642,0.61749,0.5778,0.47079,0.69581,1.34056,1.00386,0.000424187,0.000424187,0.000424187
43,17860.8,0.55768,0.83541,0.9606,0.57312,0.60217,0.58755,0.47168,0.67625,1.40668,0.99714,0.000417119,0.000417119,0.000417119
44,18313,0.55527,0.8362,0.9629,0.53261,0.62807,0.58566,0.47691,0.68047,1.39449,1.00252,0.00041005,0.00041005,0.00041005
45,18790.7,0.56291,0.83915,0.96417,0.64496,0.55892,0.59406,0.48011,0.6658,1.39347,0.98204,0.000402982,0.000402982,0.000402982
46,19262.2,0.56749,0.82751,0.96255,0.63185,0.54651,0.59101,0.47528,0.68064,1.37307,1.00215,0.000395913,0.000395913,0.000395913
47,19724.1,0.56687,0.82209,0.96094,0.63545,0.56265,0.58564,0.47522,0.66925,1.34841,1.00299,0.000388844,0.000388844,0.000388844
48,20190.3,0.54243,0.81578,0.95605,0.61087,0.57607,0.59764,0.48172,0.66057,1.40144,0.98872,0.000381776,0.000381776,0.000381776
49,20678.1,0.54355,0.77025,0.94795,0.54743,0.63115,0.58986,0.47159,0.64562,1.34678,0.98567,0.000374707,0.000374707,0.000374707
50,21192.9,0.55176,0.7951,0.97267,0.57734,0.58042,0.59616,0.49234,0.65038,1.3652,0.98817,0.000367639,0.000367639,0.000367639
51,21568.9,0.5515,0.77654,0.95284,0.62669,0.57099,0.59014,0.47947,0.65887,1.38484,0.98707,0.00036057,0.00036057,0.00036057
52,21943.8,0.53903,0.74845,0.95608,0.58014,0.59134,0.59806,0.48616,0.64382,1.32754,0.98461,0.000353501,0.000353501,0.000353501
53,22317.3,0.53016,0.75203,0.94879,0.5897,0.59161,0.58364,0.47649,0.66271,1.35028,0.98609,0.000346433,0.000346433,0.000346433
54,22689.3,0.52982,0.73042,0.94982,0.57761,0.58928,0.58013,0.47106,0.66985,1.38311,0.98929,0.000339364,0.000339364,0.000339364
55,23061.6,0.52484,0.73299,0.9466,0.62319,0.55807,0.57421,0.46667,0.6722,1.45933,0.99049,0.000332296,0.000332296,0.000332296
56,23436,0.52144,0.73517,0.94402,0.60411,0.58524,0.60753,0.49354,0.66656,1.32744,0.99695,0.000325227,0.000325227,0.000325227
57,23809.9,0.50888,0.72662,0.93878,0.62687,0.5555,0.5814,0.47641,0.6368,1.35793,0.98071,0.000318158,0.000318158,0.000318158
58,24184.3,0.50906,0.72295,0.94933,0.5479,0.64067,0.58242,0.48066,0.61362,1.3169,0.96332,0.00031109,0.00031109,0.00031109
59,24557.6,0.51639,0.72189,0.94871,0.60684,0.60115,0.61174,0.50133,0.64731,1.33514,0.97524,0.000304021,0.000304021,0.000304021
60,24931,0.51698,0.70362,0.93725,0.58812,0.59037,0.60101,0.49137,0.66637,1.36932,0.97767,0.000296953,0.000296953,0.000296953
61,25299.9,0.5113,0.69859,0.95052,0.641,0.55721,0.59972,0.48435,0.64261,1.38092,0.96929,0.000289884,0.000289884,0.000289884
62,25669.7,0.50256,0.70522,0.948,0.61158,0.56814,0.59812,0.49104,0.63045,1.34931,0.96794,0.000282815,0.000282815,0.000282815
63,56786,0.49314,0.68577,0.93284,0.56813,0.61009,0.59121,0.49026,0.63135,1.35168,0.96711,0.000275747,0.000275747,0.000275747
64,58847.9,0.50268,0.67107,0.93301,0.57125,0.61218,0.6002,0.49573,0.65686,1.39945,0.99124,0.000268678,0.000268678,0.000268678
65,59206.8,0.50942,0.6867,0.93913,0.58171,0.60427,0.5913,0.47991,0.67024,1.4579,1.00076,0.00026161,0.00026161,0.00026161
66,59562.2,0.50241,0.66723,0.93841,0.60017,0.62686,0.5865,0.47684,0.64588,1.43838,0.97606,0.000254541,0.000254541,0.000254541
67,59919.1,0.49603,0.65528,0.93071,0.58198,0.62412,0.58213,0.481,0.63403,1.38048,0.97412,0.000247472,0.000247472,0.000247472
68,60276.7,0.48605,0.64633,0.93063,0.61372,0.57265,0.59118,0.4903,0.66098,1.39955,0.98081,0.000240404,0.000240404,0.000240404
69,60633.4,0.49269,0.65481,0.93205,0.52646,0.67112,0.58979,0.48874,0.63338,1.34469,0.97347,0.000233335,0.000233335,0.000233335
70,60989.5,0.49296,0.64171,0.931,0.58061,0.62945,0.59661,0.49833,0.61872,1.36446,0.96362,0.000226267,0.000226267,0.000226267
71,61349.1,0.4789,0.62797,0.92712,0.53836,0.65717,0.59876,0.50085,0.62306,1.34797,0.97777,0.000219198,0.000219198,0.000219198
72,61706.8,0.49083,0.63817,0.9369,0.58161,0.6514,0.61873,0.51622,0.61748,1.29559,0.96335,0.000212129,0.000212129,0.000212129
73,62067.4,0.46364,0.61599,0.92297,0.61334,0.59892,0.61218,0.51233,0.63267,1.35532,0.97765,0.000205061,0.000205061,0.000205061
74,62423,0.47406,0.61666,0.92336,0.64069,0.57376,0.60667,0.50475,0.62403,1.40961,0.97144,0.000197992,0.000197992,0.000197992
75,62777.8,0.45509,0.5878,0.91114,0.62024,0.58,0.5932,0.49406,0.62341,1.31475,0.96609,0.000190924,0.000190924,0.000190924
76,63214.9,0.4617,0.58542,0.91824,0.62442,0.61078,0.598,0.5018,0.61599,1.35022,0.96404,0.000183855,0.000183855,0.000183855
77,63739.9,0.46964,0.59858,0.92316,0.58889,0.60477,0.58973,0.49249,0.61712,1.35415,0.97286,0.000176786,0.000176786,0.000176786
78,64377.3,0.46265,0.57649,0.91602,0.58351,0.63591,0.59932,0.50335,0.62632,1.3617,0.97752,0.000169718,0.000169718,0.000169718
79,65011.9,0.46835,0.59731,0.93164,0.65435,0.56205,0.59218,0.49727,0.62048,1.38048,0.97727,0.000162649,0.000162649,0.000162649
80,65641.6,0.44666,0.5726,0.91713,0.58291,0.61767,0.59159,0.50121,0.62288,1.34795,0.97678,0.000155581,0.000155581,0.000155581
81,66273.9,0.45337,0.557,0.9158,0.58242,0.61305,0.58602,0.49739,0.62318,1.40577,0.97489,0.000148512,0.000148512,0.000148512
82,66945.3,0.44693,0.57242,0.91442,0.57512,0.62207,0.59452,0.49935,0.61849,1.3648,0.96889,0.000141443,0.000141443,0.000141443
83,67586.4,0.44264,0.55381,0.91316,0.60248,0.62729,0.6027,0.50349,0.60598,1.36855,0.96615,0.000134375,0.000134375,0.000134375
84,68079.9,0.4424,0.54083,0.90988,0.61956,0.6319,0.61502,0.51174,0.61361,1.32318,0.96987,0.000127306,0.000127306,0.000127306
85,68610.2,0.43722,0.55166,0.90829,0.59443,0.63939,0.60839,0.50987,0.60656,1.3549,0.9666,0.000120238,0.000120238,0.000120238
86,69103.8,0.43674,0.54538,0.91082,0.60361,0.61622,0.60394,0.50705,0.61395,1.391,0.97658,0.000113169,0.000113169,0.000113169
87,69467.7,0.42926,0.54408,0.90777,0.57682,0.62781,0.59986,0.50516,0.61769,1.38968,0.97379,0.0001061,0.0001061,0.0001061
88,69831.2,0.43955,0.54463,0.90961,0.58577,0.65031,0.61123,0.51502,0.60216,1.3374,0.96148,9.90318e-05,9.90318e-05,9.90318e-05
89,70193.6,0.42482,0.53006,0.90087,0.56906,0.64872,0.618,0.51501,0.61051,1.31117,0.96531,9.19632e-05,9.19632e-05,9.19632e-05
90,70556.5,0.43823,0.53248,0.90783,0.64438,0.60017,0.6082,0.5069,0.60437,1.34672,0.96713,8.48946e-05,8.48946e-05,8.48946e-05
91,70915.5,0.41304,0.50539,0.89773,0.561,0.61195,0.57184,0.46798,0.67239,1.4831,1.01539,7.7826e-05,7.7826e-05,7.7826e-05
92,71267.7,0.38561,0.44254,0.88015,0.61547,0.56111,0.56516,0.46978,0.63393,1.40066,0.99437,7.07574e-05,7.07574e-05,7.07574e-05
93,71623.6,0.37352,0.43472,0.86543,0.54777,0.62602,0.57164,0.47606,0.63069,1.38166,0.98138,6.36888e-05,6.36888e-05,6.36888e-05
94,71983.7,0.37551,0.42746,0.87397,0.62508,0.55817,0.58077,0.48537,0.62164,1.38089,0.97509,5.66202e-05,5.66202e-05,5.66202e-05
95,72343.8,0.36319,0.40578,0.86599,0.61797,0.55121,0.57765,0.48485,0.62523,1.43738,0.9795,4.95516e-05,4.95516e-05,4.95516e-05
96,72699.7,0.36425,0.39318,0.86855,0.56947,0.60648,0.58463,0.49085,0.61173,1.39477,0.97181,4.2483e-05,4.2483e-05,4.2483e-05
97,73056.7,0.36217,0.39679,0.8619,0.61975,0.59105,0.58854,0.48824,0.61514,1.40551,0.96914,3.54144e-05,3.54144e-05,3.54144e-05
98,73413.6,0.35349,0.39095,0.85489,0.58324,0.61345,0.58222,0.48696,0.61167,1.43025,0.97443,2.83458e-05,2.83458e-05,2.83458e-05
99,73771.9,0.35691,0.38957,0.87052,0.58725,0.61916,0.59,0.48998,0.61502,1.40379,0.97837,2.12772e-05,2.12772e-05,2.12772e-05
100,74130,0.35711,0.38509,0.85933,0.5852,0.62278,0.58965,0.49319,0.61501,1.39782,0.97729,1.42086e-05,1.42086e-05,1.42086e-05
